Name,Number of titles in library
"Miller, Frank",1
"Miller, Karen",3
"Miller, Walter M.",5
"Milligan, Peter",1
"Mills, Craig",1
"Mills, Robert",1
"Mills, Robert (ed.)",6
"Milton, John",1
"Milán, Victor",1
"Minsky, Marvin & Harrison, Harry",1
"Mirlees, Hope",1
"Mistral, Bengo",1
"Mitchell, David",1
"Mitchell, J. Leslie",1
"Mitchell, Sandy",1
"Mitchell, V. E.",2
"Mitchison, Naomi",2
"Miéville, China",7
"Modesitt, L. E.",15
"Modesitt, L. E. Jr.",1
"Moffatt, James",1
"Moffitt, Donald",1
"Mohs, Mayo (ed.)",1
"Monaco, Richard",1
"Monsarrat, Nicholas",1
"Moon, Elizabeth",5
"Mooney, Ted",1
"Moorcock, Michael",87
"Moorcock, Michael & Cawthorn, James",1
"Moore, Alan",2
"Moore, C. L.",2
"Moore, C.L.",2
"Moore, Patrick",3
"Moore, Ward",2
"Morgan, Dan",6
"Morgan, Richard K.",6
"Moriarty, Chris",1
"Morland, Dick",1
"Morressy, John",3
"Morris, Janet E.",3
"Morris, William",2
"Morrow, James",4
"Mortimore, Jim",1
"Mortimore, Jim (ed.)",1
"Morton, Patricia",1
"Morwood, Peter",3
"Moskowitz, Sam (Ed.)",1
"Moskowitz, Sam (ed.)",8
"Mosse, Kate",1
"Muller, John",4
"Munn, H. Warner",1
"Murakami, Haruki",3
"Murdock, M. S.",1
"Mór, Caiseal",2
"Nation, Terry",1
"Naylor, Doug",1
"Naylor, Grant",2
"Neason, Rebecca",1
"Neill, Robert",1
"Nesbit, E.",1
"Neville, Kris",3
"Newman, Kim",3
"Nicholls, Peter",3
"Nichols, Adam",1
"Niffenegger, Audrey",1
"Nimoy, Leonard",3
"Niven, Larry",37
"Niven, Larry & Barnes, Steven",3
"Niven, Larry & Pournelle, Jerry",4
"Niven, Larry & Pournelle, Jerry ",1
"Niven, Larry and Pournelle, Jerry",2
"Niven, Larry; Pournell, Jerry & Barnes, Steven",1
"Nix, Garth",2
"Nolan, William F.",2
"Nolan, William F. & Johnson, George Clayton",1
"Nolan, William F. (Ed.)",5
"Nolan, William F. (ed.)",1
"Noon, Jeff",5
"Noriss, Andrew",1
"Norman, John",7
"North, Eric",1
"North, Ryan (ed.)",1
"Norton, Alden H. (Ed.)",1
