Doctor Who and the Time Warrior,"Dicks, Terrance",1978,0426200233,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and Destiny of the Daleks,"Dicks, Terrance",1979,0426200969,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Image of Fendahl,"Dicks, Terrance",1979,0426200772,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Invisible Enemy,"Dicks, Terrance",1979,0426200543,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Dr Who and Hand of Fear,"Dicks, Terrance",1979,0426200330,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who & the Nightmare of Eden,"Dicks, Terrance",1980,0426201302,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Horns of Nimon,"Dicks, Terrance",1980,0426201310,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the monster of Peladon,"Dicks, Terrance",1980,0426201329,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the power of Kroll,"Dicks, Terrance",,0426201019,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Stones of Blood,"Dicks, Terrance",1980,0426200993,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Claws of Axos,"Dicks, Terrance",1983,0426117034,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Giant Robot,"Dicks, Terrance",1983,0426112792,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Invasion of Time,"Dicks, Terrance",1983,0426200934,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Planet of Evil,"Dicks, Terrance",1983,0426116828,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the State of Decay,"Dicks, Terrance",1983,0426201337,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Terrors of Autons,"Dicks, Terrance",1983,0426115007,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who the Brain of Morbius,"Dicks, Terrance",1983,0426116747,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
"Doctor Who, Meglos","Dicks, Terrance",1983,0426201361,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Dr Who and the Pyramids of Mars,"Dicks, Terrance",1983,0426116666,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
The Players,"Dicks, Terrance",1999,9780563555735,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
The adventures of K9 and other mechanical creatures,"Dicks, Terrance",,0426200675,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and Talons of Weng Chiang,"Dicks, Terrance",1977,0426119738,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Androids of Tara,"Dicks, Terrance",1983,0426201086,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Carnival of Monsters,"Dicks, Terrance",1977,0426110250,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Deadly Assassin,"Dicks, Terrance",1977,0426119657,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Face of Evil,"Dicks, Terrance",1983,0426200063,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Mutants,"Dicks, Terrance",1977,0426116909,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Underworld,"Dicks, Terrance",1980,0426200683,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Doctor Who and the Planet of Spiders,"Dicks, Terrance",1975,0426106555,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
The Making of Dr. Who,"Dicks, Terrance & Hulke, Malcolm ",1976,0426116151,Tie-In Novels,,-,-,,t/DICK3/,,DICK3,,,,D,,,,,,y,,,,,
Mindshadow: A Star Trek Novel,"Dillard, J. M.",1986,0671607561,Tie-In Novels,,-,-,,t/DILL1/,,DILL1,,,,D,,,,,,y,,,,,
BLOODTHIRST (CLASSIC STAR TREK #37),"Dillard, J. M.",1990,0671708767,Tie-In Novels,,-,-,,t/DILL1/,,DILL1,,,,D,,,,,,y,,,,,
Demons,"Dillard, J. M.",1990,0671708775,Tie-In Novels,,-,-,,t/DILL1/,,DILL1,,,,D,,,,,,y,,,,,
The lost years,"Dillard, J. M.",1990,0671707957,Tie-In Novels,,-,-,,t/DILL1/,,DILL1,,,,D,,,,,,y,,,,,
Possession (Star Trek),"Dillard, J. M. & O'Malley, Kathleen",1996,9786718648581,Tie-In Novels,,-,-,,t/DILL1/,,DILL1,,,,D,,,,,,y,,,,,
Wounded Sky: Star Trek #13,"Duane, Diane",1988,0671667351,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
"My Enemy, My Ally","Duane, Diane",1989,9781852861292,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
Spock's World,"Duane, Diane",1989,0671667734,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
Doctor's Orders,"Duane, Diane",1990,0671661892,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
Dark mirror,"Duane, Diane",1994,0671794388,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
Intellivore,"Duane, Diane",1997,0671568329,Tie-In Novels,,-,-,,t/DUAN1/,,DUAN1,,,,D,,,,,,y,,,,,
Timetrap,"Dvorkin, David",1988,0671648705,Tie-In Novels,,-,-,,t/DVOR1/,,DVOR1,,,,D,,,,,,y,,,,,
The Trellisane Confrontation,"Dvorkin, David",1990,9781852862244,Tie-In Novels,,-,-,,t/DVOR1/,,DVOR1,,,,D,,,,,,y,,,,,
The Trellisane Confrontation,"Dvorkin, David",1990,0671700952,Tie-In Novels,,-,-,,t/DVOR1/,,DVOR1,,,,D,,,,,,y,,,,,
